Country,County name,Municipality name,Locality code,Locality reference,"Population Dec 31, 2020","Land area in hectares,2020",Long,Lat
Sweden,Stockholm,Upplands Vasby,0114TB103,Lowenstromska lasarettet,581,66,17.91605164,59.54166618
Sweden,Stockholm,Upplands Vasby,0114TB107,Batbyggartorp och Harva,221,48,17.85104274,59.51796331
Sweden,Stockholm,Vallentuna,0115TB101,Brottby,248,38,18.24202508,59.56313038
Sweden,Stockholm,Vallentuna,0115TB102,"Ekskogen, algeby och Langsjotorp",347,215,18.36774244,59.60872253
Sweden,Stockholm,Vallentuna,0115TB103,Ekskogen,263,61,18.22613509,59.63915808
Sweden,Stockholm,Vallentuna,0115TB104,Johannesudd,306,16,18.03219273,59.55237784
Sweden,Stockholm,Vallentuna,0115TB105,Karby,838,55,18.2197381,59.56116929
Sweden,Stockholm,Vallentuna,0115TB106,Karsta,513,80,18.26815677,59.65593674
Sweden,Stockholm,Vallentuna,0115TB107,Lindholmen,1186,113,18.10601113,59.58442573
Sweden,Stockholm,Vallentuna,0115TC108,Vallentuna,33336,1771,18.08025632,59.51940128
Sweden,Stockholm,osteraker,0117TB101,Bammarboda,671,312,18.49520217,59.52105452
Sweden,Stockholm,osteraker,0117TB104,Laggarsvik och Linanas,321,382,18.52369452,59.48191784
Sweden,Stockholm,osteraker,0117TB105,Taljo,476,109,18.24747557,59.47044294
Sweden,Stockholm,osteraker,0117TB106,Rydbo,580,41,18.18733574,59.46148099
Sweden,Stockholm,osteraker,0117TB107,Solberga,528,133,18.34627852,59.50198668
Sweden,Stockholm,osteraker,0117TB108,Nyhagen och oversattra,671,76,18.37881363,59.49683815
Sweden,Stockholm,osteraker,0117TB109,Stava,377,111,18.22128869,59.49934832
Sweden,Stockholm,osteraker,0117TB110,Nolsjo och Mellansjo,572,283,18.63245465,59.51606789
Sweden,Stockholm,osteraker,0117TB111,Svinninge,2857,579,18.27131007,59.44381093
Sweden,Stockholm,osteraker,0117TB113,Spanlot,473,23,18.31478651,59.49506529
Sweden,Stockholm,osteraker,0117TB154,Nas*,291,23,18.26595057,59.4679358
Sweden,Stockholm,osteraker,0117TC112,akersberga,35747,2534,18.24405741,59.48763296
Sweden,Stockholm,Varmdo,0120TB101,Bjornomalmen och Klacknaset,647,155,18.52090526,59.2225315
Sweden,Stockholm,Varmdo,0120TB102,"Gronskan, Vedhamn och Baldersnas",273,191,18.47292931,59.23392495
Sweden,Stockholm,Varmdo,0120TB103,Brunn,1323,204,18.42594973,59.28422973
Sweden,Stockholm,Varmdo,0120TB104,Betsede,319,56,18.42819828,59.32917521
Sweden,Stockholm,Varmdo,0120TB105,Djuro,1179,246,18.69552404,59.31139094
Sweden,Stockholm,Varmdo,0120TB108,Fagelvikshojden,2333,581,18.43744469,59.2619903
Sweden,Stockholm,Varmdo,0120TB113,Norra Ingarostrand och Skalsmara,882,455,18.51655899,59.27184506
Sweden,Stockholm,Varmdo,0120TB114,Kopparmora,2302,735,18.58287158,59.3373492
Sweden,Stockholm,Varmdo,0120TB115,Langvik,599,144,18.51195924,59.23940418
Sweden,Stockholm,Varmdo,0120TB117,Norra Lagno,377,94,18.40537932,59.35405229
Sweden,Stockholm,Varmdo,0120TB119,Lugnet och Skalsmara,701,292,18.53304379,59.24802911
Sweden,Stockholm,Varmdo,0120TB120,Stavsnas,1871,971,18.64790001,59.28180943
Sweden,Stockholm,Varmdo,0120TB121,Stromma,2622,708,18.51324754,59.29532364
Sweden,Stockholm,Varmdo,0120TB123,Koviksudde och Skeviksstrand,338,92,18.35768689,59.35761534
Sweden,Stockholm,Varmdo,0120TB125,angsvik,441,78,18.51424717,59.35787367
Sweden,Stockholm,Varmdo,0120TB126,alvsala,381,335,18.64453195,59.30935383
Sweden,Stockholm,Varmdo,0120TB127,Norra Vindo,263,496,18.65476437,59.36233211
Sweden,Stockholm,Varmdo,0120TB138,Vastra alvsala,203,132,18.61831196,59.29673944
Sweden,Stockholm,Varmdo,0120TB178,Sodra Vindo*,342,393,18.71257459,59.33208826
Sweden,Stockholm,Varmdo,0120TC109,Gustavsberg,24341,1491,18.48699368,59.33881805
Sweden,Stockholm,Ekero,0125TB101,Drottningholm,316,48,17.88883826,59.3251626
Sweden,Stockholm,Ekero,0125TB103,Ekero sommarstad,594,94,17.73972185,59.27676425
Sweden,Stockholm,Ekero,0125TB104,Parksidan och Solsidan,961,57,17.84844785,59.28158672
Sweden,Stockholm,Ekero,0125TB105,Hilleshogby,223,74,17.70515247,59.38914981
Sweden,Stockholm,Ekero,0125TB106,Kungsberga,917,253,17.62407984,59.40452683
Sweden,Stockholm,Ekero,0125TB107,Lilla Stenby,250,84,17.52182226,59.38633523
Sweden,Stockholm,Ekero,0125TB108,Lurudden,229,57,17.70411412,59.27527922
Sweden,Stockholm,Ekero,0125TB109,Sundby,471,79,17.71649892,59.2911521
Sweden,Stockholm,Ekero,0125TB111,Stenhamra,3636,348,17.69144361,59.33446208
Sweden,Stockholm,Ekero,0125TB112,Soderby,279,72,17.58001162,59.3831335
Sweden,Stockholm,Ekero,0125TB113,Tureholm,1097,329,17.7449875,59.31987678
Sweden,Stockholm,Ekero,0125TB114,alvnas,802,58,17.76618573,59.28789808
Sweden,Stockholm,Ekero,0125TB115,olsta,730,239,17.66636629,59.40417128
Sweden,Stockholm,Ekero,0125TB120,Ekeby tomtomrade,210,111,17.60171588,59.36346729
Sweden,Stockholm,Ekero,0125TB157,"Slottshagen, Bona, Helgo bol och Kungens tappa",291,99,17.67348874,59.28012837
Sweden,Stockholm,Ekero,0125TB161,Sanga Saby,250,34,17.64959427,59.36549932
Sweden,Stockholm,Ekero,0125TB173,Jungfrusund,299,14,17.84468474,59.27320087
Sweden,Stockholm,Ekero,0125TC102,Ekero,12332,605,17.79358689,59.28096028
Sweden,Stockholm,Huddinge,0126TB101,Glado kvarn,772,142,17.98369864,59.19035245
Sweden,Stockholm,Huddinge,0126TB102,Vidja,882,191,18.0617892,59.19668675
Sweden,Stockholm,Huddinge,0126TB103,ostorp och adran,246,111,18.00752786,59.15554891
Sweden,Stockholm,Botkyrka,0127TB101,Norra Riksten,2870,58,17.91295289,59.18430591
Sweden,Stockholm,Botkyrka,0127TB102,Sibble,343,95,17.75040086,59.11134671
Sweden,Stockholm,Botkyrka,0127TB115,Kagghamra tomtomrade,286,86,17.78374345,59.11787716
Sweden,Stockholm,Botkyrka,0127TC103,Tumba,46014,2158,17.71172571,59.19206806
Sweden,Stockholm,Haninge,0136TB101,Dalaro,1915,606,18.41600762,59.14842702
Sweden,Stockholm,Haninge,0136TB102,Jordbro,11607,490,18.12567732,59.14355605
Sweden,Stockholm,Haninge,0136TB103,Musko,258,67,18.12987134,59.00075125
Sweden,Stockholm,Haninge,0136TB104,Norra Musko,229,466,18.15710017,59.01734772
Sweden,Stockholm,Haninge,0136TB105,Valandan,557,162,17.99056423,59.11420657
Sweden,Stockholm,Haninge,0136TB106,Vasterhaninge,19381,1129,18.06420384,59.11454536
Sweden,Stockholm,Haninge,0136TB107,Gansta och Soderby,433,199,18.06472257,59.06252903
Sweden,Stockholm,Haninge,0136TB108,arsta Havsbad,561,172,18.17579428,59.08793541
Sweden,Stockholm,Upplands-Bro,0139TB101,Bro,9485,497,17.63743501,59.51873786
Sweden,Stockholm,Upplands-Bro,0139TB102,Brunna,4033,354,17.73859361,59.50707896
Sweden,Stockholm,Upplands-Bro,0139TB103,Habo-Tibble kyrkby,664,159,17.67771069,59.57711999
Sweden,Stockholm,Upplands-Bro,0139TB106,Rattarboda,589,70,17.61056377,59.50159275
Sweden,Stockholm,Upplands-Bro,0139TB114,Jursta,474,10,17.61212019,59.51464286
Sweden,Stockholm,Upplands-Bro,0139TB120,Smido,204,67,17.5521477,59.47343069
Sweden,Stockholm,Upplands-Bro,0139TC104,Kungsangen,12497,464,17.73154543,59.48644283
Sweden,Stockholm,Nykvarn,0140TB101,Finkarby,220,66,17.3087838,59.22257196
Sweden,Stockholm,Nykvarn,0140TB103,Nygards hagar,234,26,17.26853643,59.21706015
Sweden,Stockholm,Nykvarn,0140TB104,Stensattra tomtomrade,416,115,17.40958014,59.23272092
Sweden,Stockholm,Nykvarn,0140TB105,Turinge och Vidbynas,305,61,17.43586564,59.19949176
Sweden,Stockholm,Nykvarn,0140TB117,Rimsjohojden,200,11,17.44773493,59.1521376
Sweden,Stockholm,Nykvarn,0140TC102,Nykvarn,7862,645,17.44195276,59.17174696
Sweden,Stockholm,Taby,0160TB101,Arninge,1978,163,18.12896127,59.4669166
Sweden,Stockholm,Danderyd,0162TB101,Tranholmen,427,38,18.0887728,59.376032
Sweden,Stockholm,Sollentuna,0163TC103,Upplands Vasby och Sollentuna,149701,4703,17.88049954,59.46579293
Sweden,Stockholm,Stockholm,0180TC101,Stockholm,1617407,42243,17.95448601,59.32017144
Sweden,Stockholm,Sodertalje,0181TB101,Ekeby,1000,64,17.51803285,59.25404972
Sweden,Stockholm,Sodertalje,0181TB102,Holo,1602,168,17.53179071,59.02276192
Sweden,Stockholm,Sodertalje,0181TB103,Jarna,6153,392,17.56103651,59.08701809
Sweden,Stockholm,Sodertalje,0181TB104,Molnbo,1131,150,17.41838577,59.0491335
Sweden,Stockholm,Sodertalje,0181TB105,Pershagen,2190,106,17.65702075,59.15143966
Sweden,Stockholm,Sodertalje,0181TB106,"Aska, Tuna och Sandviken*",877,262,17.48892297,59.26426842
