conn_from,conn_to,edge_type
0, 446, Father
21, 446, Mother
0, 447, Father
5, 447, Mother
0, 448, Father
44, 448, Mother
0, 449, Father
12, 449, Mother
0, 450, Father
26, 450, Mother
1, 451, Father
36, 451, Mother
1, 452, Father
38, 452, Mother
1, 454, Father
20, 454, Mother
1, 455, Father
47, 455, Mother
1, 456, Father
36, 456, Mother
2, 457, Father
9, 457, Mother
2, 460, Father
25, 460, Mother
2, 461, Father
11, 461, Mother
2, 463, Father
51, 463, Mother
2, 464, Father
8, 464, Mother
3, 465, Father
35, 465, Mother
3, 466, Father
50, 466, Mother
3, 468, Father
24, 468, Mother
3, 470, Father
44, 470, Mother
3, 472, Father
20, 472, Mother
4, 473, Father
42, 473, Mother
4, 474, Father
8, 474, Mother
4, 477, Father
14, 477, Mother
4, 478, Father
20, 478, Mother
4, 479, Father
3, 479, Mother
5, 480, Father
41, 480, Mother
5, 482, Father
46, 482, Mother
5, 483, Father
31, 483, Mother
5, 485, Father
38, 485, Mother
5, 487, Father
7, 487, Mother
6, 488, Father
35, 488, Mother
6, 492, Father
33, 492, Mother
6, 494, Father
16, 494, Mother
6, 495, Father
30, 495, Mother
6, 397, Father
30, 397, Mother
7, 397, Father
41, 397, Mother
7, 397, Father
29, 397, Mother
7, 397, Father
23, 397, Mother
7, 94318891469965, Father
35, 94318891469965, Mother
7, 405, Father
23, 405, Mother
8, 402, Father
28, 402, Mother
8, 397, Father
35, 397, Mother
8, 94318891460494, Father
35, 94318891460494, Mother
8, 397, Father
41, 397, Mother
8, 94317481820557, Father
49, 94317481820557, Mother
9, 419, Father
16, 419, Mother
9, 94317481820557, Father
49, 94317481820557, Mother
9, 465, Father
41, 465, Mother
9, 520, Father
36, 520, Mother
9, 94318891649445, Father
40, 94318891649445, Mother
10, 6434328105443413970, Father
1, 6434328105443413970, Mother
10, 478, Father
28, 478, Mother
10, 94318892657733, Father
36, 94318892657733, Mother
10, 5200859, Father
0, 5200859, Mother
10, 7022927544117974202, Father
14, 7022927544117974202, Mother
11, 7022927544117974202, Father
49, 7022927544117974202, Mother
11, 7022927544117974202, Father
18, 7022927544117974202, Mother
11, 7022927544117974202, Father
5, 7022927544117974202, Mother
11, 7022927544117974202, Father
23, 7022927544117974202, Mother
11, 7022927544117974202, Father
36, 7022927544117974202, Mother
12, 7022927544117974202, Father
49, 7022927544117974202, Mother
12, 7022927544117974202, Father
18, 7022927544117974202, Mother
12, 7022927544117974202, Father
37, 7022927544117974202, Mother
12, 7022927544117974202, Father
40, 7022927544117974202, Mother
12, 7022927544117974202, Father
0, 7022927544117974202, Mother
13, 7022927544117974202, Father
23, 7022927544117974202, Mother
13, 7022927544117974202, Father
20, 7022927544117974202, Mother
13, 7022927544117974202, Father
0, 7022927544117974202, Mother
13, 7022927544117974202, Father
3, 7022927544117974202, Mother
13, 7022927544117974202, Father
20, 7022927544117974202, Mother
15, 7022927544117974202, Father
18, 7022927544117974202, Mother
14, 7022927544117974202, Father
23, 7022927544117974202, Mother
14, 7022927544117974202, Father
40, 7022927544117974202, Mother
14, 7022927544117974202, Father
7, 7022927544117974202, Mother
14, 7022927544117974202, Father
16, 7022927544117974202, Mother
14, 7022927544117974202, Father
16, 7022927544117974202, Mother
15, 7022927544117974202, Father
40, 7022927544117974202, Mother
15, 7022927544117974202, Father
49, 7022927544117974202, Mother
15, 7022927544117974202, Father
7, 7022927544117974202, Mother
15, 7022927544117974202, Father
37, 7022927544117974202, Mother
17, 7022927544117974202, Father
40, 7022927544117974202, Mother
16, 7022927544117974202, Father
3, 7022927544117974202, Mother
16, 7022927544117974202, Father
44, 7022927544117974202, Mother
16, 7022927544117974202, Father
37, 7022927544117974202, Mother
16, 7022927544117974202, Father
46, 7022927544117974202, Mother
16, 7022927544117974202, Father
33, 7022927544117974202, Mother
17, 7022927544117974202, Father
18, 7022927544117974202, Mother
17, 7022927544117974202, Father
50, 7022927544117974202, Mother
119, 399, Father
140, 399, Mother
52, 400, Father
80, 400, Mother
77, 401, Father
115, 401, Mother
148, 402, Father
170, 402, Mother
132, 403, Father
150, 403, Mother
73, 404, Father
112, 404, Mother
119, 405, Father
140, 405, Mother
73, 406, Father
112, 406, Mother
129, 407, Father
81, 407, Mother
171, 408, Father
174, 408, Mother
132, 409, Father
150, 409, Mother
148, 410, Father
170, 410, Mother
116, 411, Father
137, 411, Mother
73, 412, Father
112, 412, Mother
77, 413, Father
115, 413, Mother
73, 414, Father
112, 414, Mother
119, 415, Father
140, 415, Mother
171, 416, Father
174, 416, Mother
148, 417, Father
170, 417, Mother
151, 419, Father
68, 419, Mother
132, 420, Father
150, 420, Mother
71, 421, Father
45, 421, Mother
94, 422, Father
201, 422, Mother
91, 423, Father
120, 423, Mother
87, 424, Father
132, 424, Mother
162, 425, Father
104, 425, Mother
77, 426, Father
115, 426, Mother
135, 427, Father
188, 427, Mother
73, 428, Father
112, 428, Mother
171, 429, Father
174, 429, Mother
167, 430, Father
171, 430, Mother
65, 432, Father
78, 432, Mother
148, 433, Father
170, 433, Mother
87, 434, Father
132, 434, Mother
87, 435, Father
132, 435, Mother
77, 436, Father
115, 436, Mother
116, 437, Father
137, 437, Mother
105, 438, Father
131, 438, Mother
171, 440, Father
174, 440, Mother
129, 441, Father
81, 441, Mother
80, 442, Father
32, 442, Mother
164, 443, Father
56, 443, Mother
173, 445, Father
175, 445, Mother
151, 446, Father
68, 446, Mother
148, 447, Father
170, 447, Mother
151, 448, Father
68, 448, Mother
116, 449, Father
137, 449, Mother
151, 450, Father
68, 450, Mother
87, 451, Father
132, 451, Mother
73, 454, Father
112, 454, Mother
164, 456, Father
56, 456, Mother
171, 457, Father
174, 457, Mother
100, 458, Father
125, 458, Mother
119, 459, Father
140, 459, Mother
167, 461, Father
171, 461, Mother
77, 463, Father
115, 463, Mother
71, 464, Father
45, 464, Mother
105, 465, Father
131, 465, Mother
80, 467, Father
32, 467, Mother
127, 468, Father
147, 468, Mother
52, 469, Father
80, 469, Mother
74, 471, Father
74, 471, Mother
148, 472, Father
170, 472, Mother
162, 473, Father
104, 473, Mother
149, 475, Father
123, 475, Mother
71, 476, Father
45, 476, Mother
80, 477, Father
32, 477, Mother
151, 478, Father
68, 478, Mother
94, 479, Father
201, 479, Mother
65, 481, Father
78, 481, Mother
109, 482, Father
84, 482, Mother
127, 483, Father
147, 483, Mother
171, 484, Father
174, 484, Mother
91, 485, Father
120, 485, Mother
162, 486, Father
104, 486, Mother
94, 487, Father
201, 487, Mother
91, 488, Father
120, 488, Mother
109, 489, Father
84, 489, Mother
71, 490, Father
45, 490, Mother
71, 491, Father
45, 491, Mother
87, 492, Father
132, 492, Mother
135, 493, Father
188, 493, Mother
100, 494, Father
125, 494, Mother
94, 495, Father
201, 495, Mother
87, 496, Father
132, 496, Mother
33, 30, Brother
30, 33, Brother
36, 5, Brother
5, 36, Sister
36, 50, Uncle
50, 36, Nephew
36, 59, Uncle
59, 36, Niece
17, 21, Brother
21, 133, Aunt
133, 21, Niece
21, 161, Aunt
161, 21, Niece
21, 174, Aunt
174, 21, Niece
21, 17, Sister
17, 49, Uncle
49, 17, Nephew
31, 22, Brother
22, 31, Sister
27, 41, Brother
41, 27, Sister
27, 83, Uncle
83, 27, Nephew
27, 106, Uncle
106, 27, Nephew
27, 134, Uncle
134, 27, Nephew
27, 146, Uncle
146, 27, Nephew
45, 33, Brother
33, 45, Sister
45, 95, Uncle
95, 45, Nephew
45, 154, Uncle
154, 45, Niece
34, 12, Brother
12, 34, Sister
34, 52, Uncle
52, 34, Nephew
35, 49, Brother
49, 35, Sister
35, 137, Uncle
137, 35, Nephew
35, 142, Uncle
142, 35, Nephew
35, 55, Uncle
55, 35, Niece
35, 63, Uncle
63, 35, Niece
35, 128, Uncle
128, 35, Niece
1, 22, Brother
22, 54, Aunt
54, 22, Nephew
22, 55, Aunt
55, 22, Nephew
22, 57, Aunt
57, 22, Nephew
22, 58, Aunt
58, 22, Nephew
22, 59, Aunt
59, 22, Nephew
22, 1, Sister
27, 9, Brother
9, 27, Sister
27, 60, Uncle
60, 27, Nephew
25, 32, Brother
32, 25, Sister
25, 45, Uncle
45, 25, Niece
25, 70, Uncle
70, 25, Niece
25, 80, Uncle
80, 25, Niece
45, 49, Brother
49, 45, Sister
45, 137, Uncle
137, 45, Nephew
45, 142, Uncle
142, 45, Nephew
45, 55, Uncle
55, 45, Niece
45, 63, Uncle
63, 45, Niece
45, 128, Uncle
128, 45, Niece
38, 50, Brother
50, 38, Sister
38, 69, Uncle
69, 38, Nephew
38, 174, Uncle
174, 38, Niece
