conn_from,conn_to,edge_type
000036771Pierce, 155611613Morton, brother
000036771Pierce, 475523151Hope, brother
000036771Pierce, 731881152Shade, brother
000036771Pierce, 963636897Adelbert, brother
000301505Pansy, 019983869Larkin, grand mother
000301505Pansy, 148101935GREGORY, wife
000301505Pansy, 482809735Lloyd, mother
000748501Kirk, 746848896Arthur, husband
000887697Hershel, 520789189Margret, nephew
000887697Hershel, 662777983Ethelyn, brother
000887697Hershel, 708526435Katherine, nephew
000887697Hershel, 843841095Ophelia, nephew
001219707Nolia, 376784765Hilliard, sister
001219707Nolia, 380578900Axel, brother
001228396KATHERINE, 281508110Carleton, sister
001228396KATHERINE, 662777983Ethelyn, sister
001228396KATHERINE, 662886330Clemente, sister
001228396KATHERINE, 831015781Odelia, sister
001228396KATHERINE, 935095012CRAIG, brother
001228396KATHERINE, 953326179Creola, sister
002035968Larry, 105757892Horatio, sister
002035968Larry, 324835281RYAN, brother
002035968Larry, 509789452Ike, brother
002035968Larry, 785806671Ivah, brother
002098848Alcide, 018664557Bulah, grand child
002098848Alcide, 058063896JULIA, husband
002098848Alcide, 232992830Effa, father
002098848Alcide, 486570104Georgianna, father
002098848Alcide, 522310053TONI, nephew
002126768CLAIR, 082911253CHARLENE, mother
002397995Elsie, 540486695Ora, father
002397995Elsie, 798208818HOLLIE, husband
002570716Forrest, 985058981PAULINE, husband
002704311Pete, 561009243Virginia, husband
002850615Emilia, 370142414BEVERLEY, sister
002850615Emilia, 742926715Beverly, brother
002902005Noble, 424544730Berry, wife
002902005Noble, 695207123Amalia, grand child
002902005Noble, 881568158Tessie, niece
003692513Omer, 997639065ALEXANDRA, husband
003824657Jackson, 172206306SOPHIE, grand child
003824657Jackson, 207968918Connie, husband
003824657Jackson, 463018367Nova, nephew
003824657Jackson, 492151421HEATHER, nephew
003824657Jackson, 695752227Ettie, grand child
003824657Jackson, 895802290Nella, father
003946711Creola, 172206306SOPHIE, grand child
003946711Creola, 448877069Izora, niece
003946711Creola, 583126293Lew, wife
003946711Creola, 801845828Ellar, niece
004056316MAUD, 571958364Lillis, mother
004056316MAUD, 661246594Clair, wife
004143692Eleanore, 461710414Jonas, wife
004198843JOSEPHINE, 011489122Hyrum, mother
004198843JOSEPHINE, 092365511Junie, sister
004198843JOSEPHINE, 111104412Junius, aunt
004198843JOSEPHINE, 121992209Micheal, aunt
004198843JOSEPHINE, 191220057Tyler, aunt
004198843JOSEPHINE, 474718607MORRIS, aunt
004198843JOSEPHINE, 499424185Willian, wife
004198843JOSEPHINE, 503955136ALFRED, aunt
004198843JOSEPHINE, 563017430CONNOR, aunt
004198843JOSEPHINE, 739731409Harve, aunt
004198843JOSEPHINE, 743977276Clayton, aunt
004198843JOSEPHINE, 758733716CATHERINE, sister
004198843JOSEPHINE, 921235643Vannie, aunt
004198843JOSEPHINE, 989311996Carolina, mother
004219041Elva, 449356181Isreal, wife
004548851Rosanna, 109229284Ishmael, wife
004548851Rosanna, 157549584DYLAN, wife
004548851Rosanna, 463018367Nova, sister
004548851Rosanna, 492151421HEATHER, sister
004548851Rosanna, 538704643Seymour, wife
004548851Rosanna, 719562187Ellsworth, mother
004548851Rosanna, 872023690Lucian, aunt
004548851Rosanna, 927495195Marcia, mother
004548851Rosanna, 930743509DANIEL, aunt
004548851Rosanna, 968889178BRANDON, mother
004548851Rosanna, 997058514Beverly, mother
004554207GERALDINE, 144478972Wright, wife
004554207GERALDINE, 169828598Matilda, mother
004554207GERALDINE, 448590852Clarissa, mother
004693699Meda, 036355900PERCIVAL, mother
004693699Meda, 176724597SAMANTHA, mother
004693699Meda, 592886039Classie, mother
004693699Meda, 979986842Daisy, wife
004697666Santiago, 018664557Bulah, grand child
004697666Santiago, 338878752Marilla, nephew
004697666Santiago, 772954485Fritz, nephew
004777769Rutherford, 968339383Helene, husband
004844155MANDY, 193096265Merida, wife
004844155MANDY, 913007684Ulysses, mother
004860774Fate, 740837665EDNA, husband
004894695Littie, 601442506Carrie, niece
004894695Littie, 695207123Amalia, grand child
004894695Littie, 906855085Frieda, niece
005176777Patty, 060412564Susie, aunt
005176777Patty, 091351237Claudine, mother
005176777Patty, 157141529Salome, mother
005176777Patty, 324047305Willa, grand mother
005176777Patty, 367746459Theron, wife
005176777Patty, 374565081MARCUS, grand mother
005176777Patty, 605466071Ernie, sister
005176777Patty, 676915770Elena, mother
005176777Patty, 829808987LUKE, wife
005176777Patty, 978120634Eliga, grand mother
005434416Knute, 625541570Ava, husband
005455780Dovie, 174928775Liza, sister
005455780Dovie, 278692538ALEX, sister
005455780Dovie, 320441213ELIZA, sister
005455780Dovie, 941339341Leitha, sister
005571742Rollie, 327741134ELEANOR, husband
005709454TARA, 015643508Ora, mother
005709454TARA, 172206306SOPHIE, grand child
005781151Dell, 010522662MATTHEW, brother
005781151Dell, 121293023Celia, brother
006772486Wilbur, 695207123Amalia, grand child
006772486Wilbur, 730956682Patty, niece
006772486Wilbur, 998159492Samual, wife
006927197Annabelle, 153778498SALLY, grand mother
006927197Annabelle, 160047008Jose, wife
006927197Annabelle, 167347893Alda, aunt
006927197Annabelle, 208820744Elsie, aunt
006927197Annabelle, 237504920Candido, sister
